Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune
2021-07-29,865000,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-68c-2-1-2605-broendby-01530071_68c__2___1,"Brøndbyvestervej 68C, 2. 1. 2605 Brøndby",Brøndbyvestervej 68,85.0,55.6574706,12.4106214,broendby
2018-07-31,878860,"Solgt, Auktion",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-66a-1-3-2605-broendby-01530071_66a__1___3,"Brøndbyvestervej 66A, 1. 3. 2605 Brøndby",Brøndbyvestervej 66,46.0,55.6582133,12.4107645,broendby
2022-07-01,724500,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-62a-0-3-2605-broendby-01530071_62a_st___3,"Brøndbyvestervej 62A, st. 3. 2605 Brøndby",Brøndbyvestervej 62,46.0,55.6577685,12.4097618,broendby
2015-11-03,1250000,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-68b-0-4-2605-broendby-01530071_68b_st___4,"Brøndbyvestervej 68B, st. 4. 2605 Brøndby",Brøndbyvestervej 68,82.0,55.6574706,12.4106214,broendby
2018-09-20,544000,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-68b-2-2-2605-broendby-01530071_68b__2___2,"Brøndbyvestervej 68B, 2. 2. 2605 Brøndby",Brøndbyvestervej 68,46.0,55.6574706,12.4106214,broendby
2017-12-29,544000,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-68b-2-2-2605-broendby-01530071_68b__2___2,"Brøndbyvestervej 68B, 2. 2. 2605 Brøndby",Brøndbyvestervej 68,46.0,55.6574706,12.4106214,broendby
2016-12-19,535500,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-60b-0-2-2605-broendby-01530071_60b_st___2,"Brøndbyvestervej 60B, st. 2. 2605 Brøndby",Brøndbyvestervej 60,46.0,55.65864240000001,12.4096224,broendby
2016-02-10,700000,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-66c-2-2-2605-broendby-01530071_66c__2___2,"Brøndbyvestervej 66C, 2. 2. 2605 Brøndby",Brøndbyvestervej 66,46.0,55.6582133,12.4107645,broendby
2016-02-10,700000,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/broendbyvestervej-66c-2-2-2605-broendby-01530071_66c__2___2,"Brøndbyvestervej 66C, 2. 2. 2605 Brøndby",Brøndbyvestervej 66,46.0,55.6582133,12.4107645,broendby
2020-07-01,2127500,"Solgt, Familiehandel",1991,https://www.boligsiden.dk/adresse/borups-alle-126a-2-tv-2000-frederiksberg-01470094126a__2__tv,"Borups Alle 126A, 2. tv. 2000 Frederiksberg",Borups Alle 126,92.0,55.6941468,12.5319329,frederiksberg
2016-05-30,1025000,"Solgt, Familiehandel",1898,https://www.boligsiden.dk/adresse/hospitalsvej-1a-1-tv-2000-frederiksberg-01470385__1a__1__tv,"Hospitalsvej 1A, 1. tv. 2000 Frederiksberg",Hospitalsvej 1,85.0,55.6791725,12.5292674,frederiksberg
2015-11-24,1499000,"Solgt, Familiehandel",1898,https://www.boligsiden.dk/adresse/hospitalsvej-1a-1-tv-2000-frederiksberg-01470385__1a__1__tv,"Hospitalsvej 1A, 1. tv. 2000 Frederiksberg",Hospitalsvej 1,85.0,55.6791725,12.5292674,frederiksberg
2015-11-06,592500,"Solgt, Øvrigt",1974,https://www.boligsiden.dk/adresse/nordre-fasanvej-60-6-61-2000-frederiksberg-01470586__60__6__61,"Nordre Fasanvej 60, 6. 61. 2000 Frederiksberg",Nordre Fasanvej 60,45.0,55.6847666,12.5254745,frederiksberg
